=== Annotation Statistics ===

Training Set:
Total categories: 1625
Total annotations: 623359
Warning: Found 4 invalid category IDs: [3105, 3107, 3108, 3109]

Top categories by annotation count:
ID     Name                           Count      Percentage
2273   seat base                      756          0.12%
2850   tray                           755          0.12%
1430   left hand                      747          0.12%
2250   screen                         729          0.12%
730    dial                           721          0.12%
2341   shoe                           703          0.11%
320    bumper                         686          0.11%
2901   umbrella                       685          0.11%
2880   truck, motortruck              676          0.11%
776    door frame                     662          0.11%
1002   food, solid food               661          0.11%
2128   river                          642          0.10%
491    chest of drawers, chest, bureau, dresser 638          0.10%
187    bicycle, bike, wheel, cycle    638          0.10%
1563   minibike, motorbike            637          0.10%
2598   stove, kitchen stove, range, kitchen range, cooking stove 634          0.10%
2346   shop window                    634          0.10%
1707   outside arm                    626          0.10%
943    fireplace, hearth, open fireplace 621          0.10%
1485   magazine                       607          0.10%
591    computer, computing machine, computing device, data processor, electronic computer, information processing system 602          0.10%
2262   sculpture                      599          0.10%
36     aperture                       594          0.10%
10     air conditioner, air conditioning 594          0.10%
2833   trade name, brand name, brand, marque 589          0.09%
1644   napkin, table napkin, serviette 586          0.09%
1583   monitor, monitoring device     584          0.09%
2052   railing                        575          0.09%
2730   telephone, phone, telephone set 572          0.09%
1708   oven                           568          0.09%
2212   sand                           558          0.09%
303    bucket, pail                   542          0.09%
239    bookcase                       538          0.09%
894    fan                            537          0.09%
2096   refrigerator, icebox           535          0.09%
2820   torso                          532          0.09%
495    chimney                        529          0.08%
371    can, tin, tin can              524          0.08%
1429   left foot                      517          0.08%
161    beam                           517          0.08%
2118   right foot                     501          0.08%
2372   side                           501          0.08%
1702   ottoman, pouf, pouffe, puff, hassock 492          0.08%
29     animal, animate being, beast, brute, creature, fauna 491          0.08%
327    bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle 490          0.08%
3016   waterfall, falls               490          0.08%
1012   footboard                      486          0.08%
1370   keyboard                       486          0.08%
733    diffusor                       481          0.08%
2411   skirt                          480          0.08%
627    counter                        474          0.08%
389    canopy                         469          0.08%
38     apparel, wearing apparel, dress, clothes 466          0.07%
2499   spindle                        465          0.07%
203    blade                          442          0.07%
1031   front                          438          0.07%
2569   step, stair                    438          0.07%
1131   gravestone, headstone, tombstone 435          0.07%
155    bathtub, bathing tub, bath, tub 429          0.07%
2793   toilet, can, commode, crapper, pot, potty, stool, throne 429          0.07%
1582   monitor                        428          0.07%
1619   mug                            425          0.07%
2748   text, textual matter           415          0.07%
1551   microwave, microwave oven      410          0.07%
897    faucet, spigot                 405          0.06%
2985   wardrobe, closet, press        393          0.06%
1474   loudspeaker, speaker, speaker unit, loudspeaker system, speaker system 391          0.06%
1240   hill                           387          0.06%
1791   patty, cake                    381          0.06%
831    ear                            380          0.06%
96     bag, handbag, pocketbook, purse 377          0.06%
294    bridge, span                   375          0.06%
629    countertop                     372          0.06%
2617   stretcher                      370          0.06%
313    bulb                           368          0.06%
92     backplate                      367          0.06%
14     airplane, aeroplane, plane     361          0.06%
1957   post                           360          0.06%
1747   pane, pane of glass, window glass 359          0.06%
677    cup                            355          0.06%
220    board, plank                   354          0.06%
1081   gate                           354          0.06%
1494   manhole                        354          0.06%
1247   hinge                          348          0.06%
1197   hat, chapeau, lid              348          0.06%
1401   land, ground, soil             345          0.06%
597    container                      343          0.06%
376    candle, taper, wax light       342          0.05%
665    crosswalk                      336          0.05%
131    barrel, cask                   336          0.05%
704    deck chair, beach chair        333          0.05%
682    curb, curbing, kerb            330          0.05%
1260   hood, exhaust hood             330          0.05%
2454   snow                           326          0.05%
341    button panel                   322          0.05%
1441   lid                            321          0.05%
1662   notebook                       314          0.05%
318    bulletin board, notice board   313          0.05%
747    dishwasher, dish washer, dishwashing machine 311          0.05%
206    blanket, cover                 310          0.05%
90     backpack, back pack, knapsack, packsack, rucksack, haversack 308          0.05%
3056   windows                        304          0.05%
1944   pool ball                      303          0.05%
1226   hedge, hedgerow                303          0.05%
1659   nose                           301          0.05%
1139   grill, grille, grillwork       299          0.05%
55     arm panel                      299          0.05%
1160   hair                           299          0.05%
2886   tube                           294          0.05%
948    fish                           293          0.05%
762    document, written document, papers 292          0.05%
420    case, display case, showcase, vitrine 292          0.05%
1378   knife                          288          0.05%
1892   pitcher, ewer                  285          0.05%
1174   hand                           282          0.05%
2547   statue                         282          0.05%
97     bag, traveling bag, travelling bag, grip, suitcase 280          0.04%
543    cloud                          280          0.04%
2224   sash                           276          0.04%
781    dormer                         271          0.04%
56     arm support                    269          0.04%
198    bird                           266          0.04%
461    central reservation            264          0.04%
524    cliff, drop, drop-off          261          0.04%
242    booklet, brochure, folder, leaflet, pamphlet 258          0.04%
1948   pool table, billiard table, snooker table 252          0.04%
569    coffee maker                   250          0.04%
625    corner pocket                  250          0.04%
324    burner                         247          0.04%
123    bar                            247          0.04%
1407   laptop, laptop computer        246          0.04%
2597   stove                          245          0.04%
2885   trunk, tree trunk, bole        244          0.04%
2722   teacup                         242          0.04%
1896   place mat                      242          0.04%
1884   pipe, pipage, piping           241          0.04%
1158   gym shoe, sneaker, tennis shoe 240          0.04%
468    chain                          238          0.04%
47     arcade machine                 235          0.04%
2046   radiator                       230          0.04%
2099   remote control, remote         223          0.04%
518    cistern                        218          0.03%
618    cord                           217          0.03%
791    drawing                        215          0.03%
1611   mouse                          211          0.03%
589    computer case                  209          0.03%
1121   grandstand, covered stand      208          0.03%
1690   opening                        204          0.03%
2312   shaft                          203          0.03%
2723   teapot                         203          0.03%
855    embankment                     201          0.03%
1779   parking meter                  201          0.03%
1374   kitchen island                 200          0.03%
396    capital                        197          0.03%
1346   jacket                         194          0.03%
2828   tower                          194          0.03%
1533   merchandise, ware, product     193          0.03%
118    banner, streamer               191          0.03%
3049   windmill, aerogenerator, wind generator 190          0.03%
1810   pen                            188          0.03%
2708   tap                            187          0.03%
1646   neck                           186          0.03%
1784   partition, divider             181          0.03%
2537   stall, stand, sales booth      177          0.03%
2465   soap dispenser                 176          0.03%
1391   ladder                         176          0.03%
2989   washer, automatic washer, washing machine 176          0.03%
638    cow, moo-cow                   174          0.03%
2792   toilet tissue, toilet paper, bathroom tissue 173          0.03%
394    cap                            169          0.03%
2148   rod                            168          0.03%
890    face                           166          0.03%
772    dome                           166          0.03%
1019   fork                           165          0.03%
1476   lower sash                     164          0.03%
675    cue, cue stick, pool cue, pool stick 163          0.03%
2251   screen door, screen            161          0.03%
1540   metal shutter                  159          0.03%
643    crane                          157          0.03%
1367   kettle, boiler                 156          0.03%
746    dishrag, dishcloth             156          0.03%
385    canister, cannister, tin       155          0.02%
245    boot                           155          0.02%
2955   videos                         154          0.02%
2339   shirt                          153          0.02%
1858   pier, wharf, wharfage, dock    153          0.02%
2834   traffic cone                   152          0.02%
196    binder, ring-binder            152          0.02%
2505   spoon                          151          0.02%
1279   housing                        150          0.02%
1223   heater, warmer                 149          0.02%
2683   system                         149          0.02%
308    buffet, counter, sideboard     149          0.02%
2356   shower                         148          0.02%
1023   fountain                       147          0.02%
2036   rack                           147          0.02%
2443   slot machine, coin machine     146          0.02%
2911   upper sash                     145          0.02%
286    bread, breadstuff, staff of life 145          0.02%
944    fireplug, fire hydrant, plug   144          0.02%
1445   light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb 143          0.02%
247    booth, cubicle, stall, kiosk   142          0.02%
2939   vending machine                142          0.02%
2127   riser                          140          0.02%
2567   step                           138          0.02%
1282   hovel, hut, hutch, shack, shanty 138          0.02%
1941   pond                           137          0.02%
1740   pallet                         135          0.02%
2852   tread                          133          0.02%
1986   pottery, clayware              133          0.02%
2462   soap                           129          0.02%
3102   jersey, t-shirt, tee shirt     127          0.02%
839    easel                          127          0.02%
594    console table, console         126          0.02%
2574   stick                          126          0.02%
2374   side pocket                    125          0.02%
373    candelabrum, candelabra        124          0.02%
2800   tomb                           124          0.02%
423    casing                         123          0.02%
709    decoration, ornament, ornamentation 123          0.02%
490    chest                          122          0.02%
2739   tent, collapsible shelter      122          0.02%
1882   pipe                           121          0.02%
1403   landing gear                   120          0.02%
2704   tank, storage tank             120          0.02%
2254   screen, silver screen, projection screen 118          0.02%
1461   lock                           117          0.02%
2228   saucepan                       115          0.02%
1186   hanger                         114          0.02%
2526   stage                          113          0.02%
1963   postbox, mailbox, letter box   112          0.02%
818    dummy                          112          0.02%
342    buttons                        111          0.02%
418    cart                           111          0.02%
2840   train, railroad train          110          0.02%
1924   platform                       108          0.02%
1202   hay                            105          0.02%
832    earmuffs                       104          0.02%
1151   guitar                         104          0.02%
859    entrance                       104          0.02%
2566   stem                           104          0.02%
2824   towel rack, towel horse        103          0.02%
2422   skylight, fanlight             103          0.02%
2782   toaster                        103          0.02%
2185   runway                         103          0.02%
256    bouquet, corsage, posy, nosegay 102          0.02%
2877   trouser, pant                  101          0.02%
1304   ice, water ice                 100          0.02%
112    balustrade                     100          0.02%
2005   price tag                      100          0.02%
642    cradle                         99           0.02%
65     ashtray                        99           0.02%
2007   printer                        99           0.02%
2727   telephone booth, phone booth, call box, telephone box, telephone kiosk 99           0.02%
877    exhibitor                      99           0.02%
1714   pack                           97           0.02%
2490   spectacles, specs, eyeglasses, glasses 96           0.02%
2235   scaffolding, staging           96           0.02%
2661   sweater, jumper                95           0.02%
1769   paper towel                    95           0.02%
175    bell                           92           0.01%
1386   label, recording label         92           0.01%
2418   skull                          91           0.01%
2375   side rail                      90           0.01%
544    clouds                         89           0.01%
1652   net                            89           0.01%
738    dirt track                     88           0.01%
2115   rifle                          88           0.01%
2615   streetcar, tram, tramcar, trolley, trolley car 86           0.01%
3067   wire, conducting wire          86           0.01%
662    cross                          85           0.01%
2668   swimming pool, swimming bath, natatorium 85           0.01%
2381   sill                           84           0.01%
2464   soap dish                      83           0.01%
3111   sailboat, sailing boat         83           0.01%
2523   stabilizer                     83           0.01%
925    file, file cabinet, filing cabinet 83           0.01%
160    beacon, lighthouse, beacon light, pharos 82           0.01%
1013   footbridge, overcrossing, pedestrian bridge 82           0.01%
1062   garage door                    82           0.01%
1508   mast                           81           0.01%
2160   rope                           79           0.01%
868    escalator, moving staircase, moving stairway 78           0.01%
2714   tapestry, tapis                78           0.01%
1655   newspaper, paper               78           0.01%
609    conveyer belt, conveyor belt, conveyer, conveyor, transporter 78           0.01%
1140   grille                         78           0.01%
194    billboard, hoarding            77           0.01%
426    casserole                      76           0.01%
1072   gas cap                        74           0.01%
1479   lumber, timber                 74           0.01%
49     arcade, colonnade              73           0.01%
202    blackboard, chalkboard         73           0.01%
565    coffee cup                     71           0.01%
2337   ship                           71           0.01%
214    block                          71           0.01%
6      ad, advertisement, advertizement, advertising, advertizing, advert 70           0.01%
889    fabric, cloth, material, textile 70           0.01%
938    fire escape                    70           0.01%
1393   lake                           70           0.01%
939    fire extinguisher, extinguisher, asphyxiator 69           0.01%
743    dish, dish aerial, dish antenna, saucer 69           0.01%
1670   numeral, number                69           0.01%
3482   rowing                         69           0.01%
296    briefcase                      68           0.01%
2218   sandal                         68           0.01%
229    bollard                        68           0.01%
59     armrest                        67           0.01%
813    duck                           67           0.01%
1181   handle, grip, handgrip, hold   66           0.01%
1849   piano, pianoforte, forte-piano 66           0.01%
1119   grand piano, grand             66           0.01%
2641   sun                            66           0.01%
2012   projector                      66           0.01%
725    desk chair                     66           0.01%
1493   manchette                      65           0.01%
853    elevator, lift                 63           0.01%
1885   pipe, tube                     63           0.01%
867    equipment                      63           0.01%
2080   receiver                       62           0.01%
658    crock                          62           0.01%
79     baby buggy, baby carriage, carriage, perambulator, pram, stroller, go-cart, pushchair, pusher 62           0.01%
1272   hot tub                        62           0.01%
300    brush                          61           0.01%
2362   shower stall, shower bath      60           0.01%
1560   mineral                        60           0.01%
366    camera, photographic camera    59           0.01%
631    court                          59           0.01%
3101   carapace, shell, cuticle, shield 58           0.01%
1911   planter                        58           0.01%
145    basket, basketball hoop, hoop  58           0.01%
3195   school desk                    57           0.01%
1889   piston                         56           0.01%
1600   motor                          56           0.01%
533    closet                         56           0.01%
356    cactus                         56           0.01%
1767   paper roll                     55           0.01%
1857   pier                           55           0.01%
52     arch, archway                  55           0.01%
3060   wing                           55           0.01%
1541   metal shutters                 55           0.01%
1039   frying pan                     54           0.01%
1051   fuselage                       54           0.01%
1614   mousepad, mouse mat            54           0.01%
326    bus stop                       53           0.01%
422    cash register, register        52           0.01%
108    balloon                        52           0.01%
2875   trophy, prize                  51           0.01%
1425   lectern                        51           0.01%
2179   ruins                          51           0.01%
404    card                           51           0.01%
1454   lights                         51           0.01%
2199   sail                           51           0.01%
1016   forecourt                      50           0.01%
2838   trailer                        50           0.01%
169    bedpost                        50           0.01%
141    baseboard, mopboard, skirting board 49           0.01%
1343   island                         49           0.01%
2940   vent                           48           0.01%
2934   vault                          48           0.01%
1499   map                            48           0.01%
574    cold storage                   48           0.01%
2439   sliding door                   47           0.01%
1371   keys                           47           0.01%
983    flusher                        46           0.01%
2884   trunk                          46           0.01%
2570   steps                          46           0.01%
2742   terrace                        46           0.01%
754    display window, shop window, shopwindow, show window 45           0.01%
383    cane                           45           0.01%
1505   mask                           45           0.01%
1231   helmet                         44           0.01%
134    barrier                        44           0.01%
727    desk organizer                 44           0.01%
3144   aircraft carrier, carrier, flattop, attack aircraft carrier 44           0.01%
361    calendar                       43           0.01%
843    eiderdown, duvet, continental quilt 43           0.01%
1274   hotplate                       43           0.01%
2175   rubbish, trash, scrap          43           0.01%
1546   mezzanine, first balcony       43           0.01%
2687   table football                 43           0.01%
277    branch                         42           0.01%
2436   slide                          42           0.01%
2649   support                        42           0.01%
3020   wave                           42           0.01%
1188   hangers                        42           0.01%
387    cannon                         42           0.01%
3063   wiper                          42           0.01%
1543   meter                          41           0.01%
822    dvd                            41           0.01%
1384   label                          40           0.01%
2893   turbine engine                 40           0.01%
2210   saltcellar                     40           0.01%
382    candy, confect                 40           0.01%
3384   whitewater                     40           0.01%
1513   mattress                       39           0.01%
1914   plaque                         39           0.01%
107    ball, globe, orb               39           0.01%
503    chopping board, cutting board  39           0.01%
740    dish rack                      39           0.01%
929    finger                         39           0.01%
702    deck                           39           0.01%
2964   violin                         39           0.01%
182    berth                          39           0.01%
2449   smoke                          39           0.01%
2936   vegetables                     39           0.01%
2732   television camera              39           0.01%
1189   hanging clothes                39           0.01%
559    cockpit                        38           0.01%
2892   tunnel                         38           0.01%
1852   pictures                       38           0.01%
1517   meat                           38           0.01%
827    dvds                           38           0.01%
537    clothes hanging                37           0.01%
1927   playground                     37           0.01%
301    brushes                        37           0.01%
2774   tins                           37           0.01%
3073   wood                           37           0.01%
374    candies                        37           0.01%
1232   hen, biddy                     37           0.01%
851    elevator door                  37           0.01%
2894   tureen                         37           0.01%
992    folders                        36           0.01%
1299   ice maker                      36           0.01%
1001   food processor                 36           0.01%
225    body                           36           0.01%
1486   magazine rack                  36           0.01%
2060   railway                        36           0.01%
2347   shop, store                    36           0.01%
3088   workbench                      36           0.01%
1891   pitch                          36           0.01%
1161   hair dryer                     36           0.01%
2889   tumble dryer                   36           0.01%
688    curtains                       36           0.01%
1951   porch                          36           0.01%
552    coat                           35           0.01%
213    blinds                         35           0.01%
2239   scarf                          35           0.01%
2225   sash lock                      35           0.01%
2517   sprinkler                      35           0.01%
1229   helicopter                     35           0.01%
2246   scoreboard                     35           0.01%
2188   sacks                          35           0.01%
1141   grille door                    35           0.01%
608    controls                       35           0.01%
1305   iceberg                        35           0.01%
1943   pool                           34           0.01%
2047   radio                          34           0.01%
1424   leaves                         34           0.01%
463    ceramic box                    34           0.01%
1262   hook                           34           0.01%
2769   tile                           34           0.01%
2028   pylon, power pylon             34           0.01%
2734   television stand               34           0.01%
1215   headphones                     34           0.01%
50     arcades                        34           0.01%
2600   straw                          34           0.01%
540    clothespin                     34           0.01%
63     artificial golf green          34           0.01%
188    bidet                          33           0.01%
997    folding screen                 33           0.01%
736    diploma                        33           0.01%
1267   hose                           33           0.01%
1159   h-stretcher                    33           0.01%
753    display board                  33           0.01%
1647   necklace                       33           0.01%
1463   lockers                        33           0.01%
1724   paddle                         33           0.01%
2680   swmming pool                   32           0.01%
2123   ring                           32           0.01%
2324   sheep                          32           0.01%
2926   valley, vale                   32           0.01%
2440   slipper                        31           0.00%
210    blender                        31           0.00%
1470   logo                           31           0.00%
1587   monument                       31           0.00%
2020   pumpkin                        31           0.00%
2355   shovel                         31           0.00%
444    cds                            31           0.00%
612    cookies                        31           0.00%
1657   niche                          31           0.00%
2539   stands                         31           0.00%
2442   slope                          31           0.00%
265    bowls                          31           0.00%
1199   hatchery                       31           0.00%
2613   street sign                    31           0.00%
132    barrels                        31           0.00%
2811   toothbrush                     30           0.00%
251    bottle rack                    30           0.00%
357    cage                           30           0.00%
2149   roll                           30           0.00%
1483   machinery                      30           0.00%
1509   mat                            30           0.00%
1905   planks                         30           0.00%
784    drain                          30           0.00%
2187   sack                           30           0.00%
2267   seagull                        30           0.00%
708    decor                          30           0.00%
2830   track                          30           0.00%
975    floor spotlight                30           0.00%
398    car scrapping                  30           0.00%
2745   test                           29           0.00%
1129   grating                        29           0.00%
2334   shelter                        29           0.00%
299    broom                          29           0.00%
349    cabin                          29           0.00%
2282   security camera                29           0.00%
3010   water tower                    29           0.00%
2692   table tennis                   29           0.00%
288    breads                         29           0.00%
3467   fabrics                        29           0.00%
464    ceramic pot                    28           0.00%
2827   towel ring                     28           0.00%
887    fabric                         28           0.00%
2108   ride                           28           0.00%
2019   pulpit                         28           0.00%
1301   ice rink                       28           0.00%
1482   machine gun                    28           0.00%
402    caravan                        28           0.00%
2688   table game                     28           0.00%
2213   sand dune                      28           0.00%
2962   vineyard                       28           0.00%
825    dvd player                     28           0.00%
3160   landing track                  28           0.00%
2786   toilet brush                   27           0.00%
917    figure                         27           0.00%
2510   spotlights                     27           0.00%
283    bread rolls                    27           0.00%
965    float                          27           0.00%
260    bowling alley                  27           0.00%
1643   napkin ring                    27           0.00%
1449   light switches                 27           0.00%
1945   pool balls                     27           0.00%
2702   tank lid                       26           0.00%
995    folding door                   26           0.00%
44     aqueduct                       26           0.00%
610    cooker                         26           0.00%
909    fender                         26           0.00%
2072   ramp                           26           0.00%
1664   notepad                        26           0.00%
1672   nuts                           26           0.00%
1295   ice floe, floe                 26           0.00%
1554   mill                           26           0.00%
1196   harp                           26           0.00%
849    elephant                       26           0.00%
2039   racket                         25           0.00%
2351   shops                          25           0.00%
1934   podium                         25           0.00%
1368   key                            25           0.00%
2736   tennis court                   25           0.00%
2017   puddle                         25           0.00%
1521   meat piece                     25           0.00%
698    dam                            25           0.00%
2950   video                          25           0.00%
3269   teddy                          25           0.00%
1209   head rail                      24           0.00%
1572   mobile                         24           0.00%
2315   shanties                       24           0.00%
1792   pavilion                       24           0.00%
607    control tower                  24           0.00%
482    check-in-desk                  24           0.00%
779    doors                          24           0.00%
410    carousel                       24           0.00%
2636   sugar bowl                     24           0.00%
1529   menu                           24           0.00%
414    carport                        24           0.00%
1576   model                          24           0.00%
493    chicken                        24           0.00%
2715   target                         24           0.00%
1959   post light                     24           0.00%
2379   sign                           23           0.00%
1745   pan                            23           0.00%
352    cable                          23           0.00%
3037   wheelchair                     23           0.00%
3036   wheelbarrow                    23           0.00%
2529   staircase                      23           0.00%
2754   thermostat                     23           0.00%
693    cutlery                        23           0.00%
2967   visor                          23           0.00%
1679   office partition               23           0.00%
2103   revolving door                 23           0.00%
3451   train tracks                   23           0.00%
2779   tissue                         22           0.00%
2470   sockets                        22           0.00%
2494   spice rack                     22           0.00%
945    firewood                       22           0.00%
317    bulldozer                      22           0.00%
246    booth                          22           0.00%
1103   goal                           22           0.00%
2626   structure                      22           0.00%
2832   tractor                        22           0.00%
1580   molding                        22           0.00%
39     apple                          22           0.00%
1964   postcard                       22           0.00%
2682   synthesizer                    22           0.00%
2416   skittle alley                  22           0.00%
501    chocolate                      22           0.00%
922    file cabinet                   22           0.00%
1908   plant pots                     22           0.00%
2803   tongs                          22           0.00%
3030   weights                        22           0.00%
1415   lava                           22           0.00%
2398   skeleton                       22           0.00%
1782   parterre                       22           0.00%
2168   roundabout                     22           0.00%
2970   voting booth                   22           0.00%
489    chess                          21           0.00%
857    embrasure                      21           0.00%
963    flip flop                      21           0.00%
2022   punching bag                   21           0.00%
93     badge                          21           0.00%
1462   locker                         21           0.00%
1111   golf club                      21           0.00%
2217   sand trap                      21           0.00%
1826   pepper shaker                  21           0.00%
2086   recycling bin                  21           0.00%
1790   patio, terrace                 21           0.00%
649    crate                          21           0.00%
3262   kitchen                        21           0.00%
1156   gutter                         20           0.00%
2428   slats                          20           0.00%
1734   paintbrush                     20           0.00%
2242   scissors                       20           0.00%
292    brick                          20           0.00%
1741   pallets                        20           0.00%
2678   switches                       20           0.00%
2744   terraces                       20           0.00%
1444   light bulb                     20           0.00%
2533   stalactite                     20           0.00%
2746   test tube                      20           0.00%
125    barbecue                       20           0.00%
871    excavator                      20           0.00%
1200   hats                           20           0.00%
2915   utensils                       20           0.00%
1347   jam                            20           0.00%
2765   ticket window                  20           0.00%
339    button                         19           0.00%
1336   interior casing                19           0.00%
430    cat                            19           0.00%
2540   stapler                        19           0.00%
1754   pantry                         19           0.00%
1020   forklift                       19           0.00%
221    boards                         19           0.00%
1003   foodstuffs                     19           0.00%
835    earrings                       19           0.00%
886    eyeglasses                     19           0.00%
1759   paper cups                     19           0.00%
1776   parking                        19           0.00%
1113   goods                          19           0.00%
745    dishes                         19           0.00%
2194   safety belt                    19           0.00%
534    closet rod                     19           0.00%
2145   rocky formation                19           0.00%
1376   kitchen utensils               19           0.00%
2400   ski                            19           0.00%
130    barrel rack                    19           0.00%
1846   photo machine                  18           0.00%
2788   toilet paper holder            18           0.00%
928    filter                         18           0.00%
375    candle                         18           0.00%
94     badlands                       18           0.00%
1288   ice bucket                     18           0.00%
1895   place card                     18           0.00%
2294   semidesert ground              18           0.00%
723    desert                         18           0.00%
2858   trench                         18           0.00%
1135   greenhouse                     18           0.00%
1087   gazebo                         18           0.00%
2309   sewing machine                 18           0.00%
1835   petal                          18           0.00%
2181   rung                           18           0.00%
990    fog bank                       18           0.00%
3028   weighbridge                    18           0.00%
1527   medicines                      18           0.00%
1808   pelt                           18           0.00%
154    bathrobe                       17           0.00%
1015   footrest                       17           0.00%
840    eaves                          17           0.00%
3070   wires                          17           0.00%
771    dolphin                        17           0.00%
920    file box                       17           0.00%
390    canvas                         17           0.00%
1763   paper filer                    17           0.00%
926    files                          17           0.00%
2553   steam shovel                   17           0.00%
1130   gravel                         17           0.00%
2857   trellis                        17           0.00%
1695   organ                          17           0.00%
2349   shopping cart                  17           0.00%
752    display                        17           0.00%
2414   skis                           17           0.00%
1633   music stand                    17           0.00%
2146   rocky formations               17           0.00%
2863   tripod                         16           0.00%
3017   watering can                   16           0.00%
2601   straw bale                     16           0.00%
1569   mitten                         16           0.00%
617    coral                          16           0.00%
2654   surfboard                      16           0.00%
